intersection,approach,tmc_vph,assigned_vph,geh,pass
Dundas_University,N,257,257,0.0,True
Dundas_University,S,337,337,0.0,True
Dundas_University,E,100,100,0.0,True
Dundas_University,W,132,132,0.0,True
Dundas_McCaul,N,128,128,0.0,True
Dundas_McCaul,S,232,232,0.0,True
Dundas_McCaul,E,354,354,0.0,True
Dundas_McCaul,W,618,618,0.0,True
Dundas_Beverly,N,200,200,0.0,True
Dundas_Beverly,S,176,176,0.0,True
Dundas_Beverly,E,318,318,0.0,True
Dundas_Beverly,W,657,657,0.0,True
Dundas_Huron,N,17,0,5.83,False
Dundas_Huron,S,14,0,5.29,False
Dundas_Huron,E,106,0,14.56,False
Dundas_Huron,W,116,0,15.23,False
Dundas_StPatrick,N,27,21,1.22,True
Dundas_StPatrick,S,68,46,2.91,True
Dundas_StPatrick,E,394,394,0.0,True
Dundas_StPatrick,W,637,49,31.75,False
Dundas_Spadina,N,443,443,0.0,True
Dundas_Spadina,S,485,485,0.0,True
Dundas_Spadina,E,334,334,0.0,True
Dundas_Spadina,W,558,558,0.0,True
Dundas_Denison,N,41,36,0.81,True
Dundas_Denison,S,103,58,5.02,False
Dundas_Denison,E,378,378,0.0,True
Dundas_Denison,W,674,32,34.17,False
Dundas_Bathurst,N,370,370,0.0,True
Dundas_Bathurst,S,403,92,19.77,False
Dundas_Bathurst,E,299,299,0.0,True
Dundas_Bathurst,W,479,479,0.0,True
